Fecha,Exterior,Interior,Sensor 2,Sensor 1
2018-06-04 12:14:39.722736,25.39,26.86,25.88,26.86
2018-06-04 12:14:40.047767,25.39,27.34,25.88,26.37
2018-06-04 12:14:40.355183,25.39,27.34,25.88,26.37
2018-06-04 12:14:40.663797,25.39,26.86,25.39,26.86
2018-06-04 12:14:40.974130,25.88,27.34,25.88,26.37
2018-06-04 12:14:41.282701,25.39,27.34,25.39,26.37
2018-06-04 12:14:41.592925,25.39,26.86,25.39,26.86
2018-06-04 12:14:41.900968,25.39,26.86,25.88,26.37
2018-06-04 12:14:42.209264,25.88,26.86,25.88,26.37
2018-06-04 12:14:42.515487,25.39,26.86,25.88,26.86
2018-06-04 12:14:42.823112,25.88,26.86,25.88,26.86
2018-06-04 12:14:43.131351,25.39,26.86,25.88,26.37
2018-06-04 12:14:43.435896,25.88,26.86,25.39,26.86
2018-06-04 12:14:43.750357,25.39,26.86,25.88,26.37
2018-06-04 12:14:44.058701,25.39,26.86,25.39,26.37
2018-06-04 12:14:44.366424,25.39,26.86,25.39,26.37
2018-06-04 12:14:44.674648,25.88,26.86,25.88,26.37
2018-06-04 12:14:44.982153,25.39,27.34,25.88,26.37
2018-06-04 12:14:45.289064,25.39,27.34,25.39,26.37
2018-06-04 12:14:45.596768,25.88,26.86,25.88,26.86
2018-06-04 12:14:45.905992,25.39,26.37,25.88,26.86
2018-06-04 12:14:46.213215,25.39,27.34,25.39,26.37
2018-06-04 12:14:46.517825,25.88,26.86,25.88,26.37
2018-06-04 12:14:46.822888,25.88,26.86,25.39,26.37
2018-06-04 12:14:47.128869,25.88,26.86,25.39,26.86
2018-06-04 12:14:47.434445,25.88,26.86,25.39,26.37
2018-06-04 12:14:47.739504,25.39,26.86,25.88,26.37
2018-06-04 12:14:48.045661,25.39,26.86,25.39,26.86
2018-06-04 12:14:48.350209,25.88,26.86,25.39,26.37
2018-06-04 12:14:48.654924,25.39,26.86,25.39,26.37
2018-06-04 12:14:48.959622,25.39,26.86,25.39,26.37
2018-06-04 12:14:49.266686,25.88,26.86,25.88,26.86
2018-06-04 12:14:49.571247,25.88,26.86,25.39,26.37
2018-06-04 12:14:49.876188,25.39,26.86,25.39,26.37
2018-06-04 12:14:50.182851,25.88,26.86,25.39,26.37
2018-06-04 12:14:50.487932,25.88,26.37,25.88,26.86
2018-06-04 12:14:50.792081,25.39,26.86,25.39,26.37
2018-06-04 12:14:51.098457,25.88,26.86,25.88,26.37
2018-06-04 12:14:51.406656,25.39,26.86,25.39,26.37
2018-06-04 12:14:51.711732,25.39,26.86,25.39,26.86
2018-06-04 12:14:52.017395,25.88,26.86,25.88,26.86
2018-06-04 12:14:52.323012,25.39,26.86,25.39,26.37
2018-06-04 12:14:52.626944,25.88,26.86,25.39,26.37
2018-06-04 12:14:52.934292,25.88,26.86,25.88,26.37
2018-06-04 12:14:53.239576,25.88,26.86,25.39,26.86
2018-06-04 12:14:53.543325,25.39,26.86,25.88,26.86
